id,phdr_in_vivo_result_id,phdr_regimen_id
DCV_116:DCV_PR,DCV_116,DCV_PR
DCV_117:DCV_PR,DCV_117,DCV_PR
DCV_118:DCV_PR,DCV_118,DCV_PR
DCV_119:DCV_PR,DCV_119,DCV_PR
DCV_120:DCV_PR,DCV_120,DCV_PR
DCV_141:SOF_DCV,DCV_141,SOF_DCV
DCV_142:SOF_DCV,DCV_142,SOF_DCV
DCV_143:SOF_DCV,DCV_143,SOF_DCV
DCV_144:SOF_DCV,DCV_144,SOF_DCV
DCV_145:SOF_DCV,DCV_145,SOF_DCV
DCV_146:SOF_DCV,DCV_146,SOF_DCV
DCV_147:DCV_SIM,DCV_147,DCV_SIM
DCV_147:DCV_SIM_RBV,DCV_147,DCV_SIM_RBV
DCV_148:DCV_SIM,DCV_148,DCV_SIM
DCV_148:DCV_SIM_RBV,DCV_148,DCV_SIM_RBV
DCV_149:DCV_SIM,DCV_149,DCV_SIM
DCV_149:DCV_SIM_RBV,DCV_149,DCV_SIM_RBV
DCV_150:DCV_SIM,DCV_150,DCV_SIM
DCV_150:DCV_SIM_RBV,DCV_150,DCV_SIM_RBV
DCV_151:DCV_SIM,DCV_151,DCV_SIM
DCV_151:DCV_SIM_RBV,DCV_151,DCV_SIM_RBV
DCV_152:DCV_SIM,DCV_152,DCV_SIM
DCV_152:DCV_SIM_RBV,DCV_152,DCV_SIM_RBV
DCV_153:DCV_SIM,DCV_153,DCV_SIM
DCV_153:DCV_SIM_RBV,DCV_153,DCV_SIM_RBV
DCV_154:DCV_SIM,DCV_154,DCV_SIM
DCV_154:DCV_SIM_RBV,DCV_154,DCV_SIM_RBV
DCV_155:DCV_SIM,DCV_155,DCV_SIM
DCV_155:DCV_SIM_RBV,DCV_155,DCV_SIM_RBV
DCV_156:DCV_SIM,DCV_156,DCV_SIM
DCV_156:DCV_SIM_RBV,DCV_156,DCV_SIM_RBV
DCV_157:SOF_DCV_RBV,DCV_157,SOF_DCV_RBV
DCV_158:DCV_ASV,DCV_158,DCV_ASV
DCV_159:DCV_ASV,DCV_159,DCV_ASV
DCV_160:DCV_ASV,DCV_160,DCV_ASV
DCV_161:DCV_ASV,DCV_161,DCV_ASV
DCV_162:DCV_ASV,DCV_162,DCV_ASV
DCV_163:DCV_ASV,DCV_163,DCV_ASV
DCV_164:DCV_ASV,DCV_164,DCV_ASV
DCV_165:DCV_ASV,DCV_165,DCV_ASV
DCV_166:DCV_ASV,DCV_166,DCV_ASV
DCV_167:DCV_ASV,DCV_167,DCV_ASV
DCV_168:DCV_ASV,DCV_168,DCV_ASV
DCV_169:DCV_ASV,DCV_169,DCV_ASV
DCV_170:DCV_ASV,DCV_170,DCV_ASV
DCV_171:DCV_ASV,DCV_171,DCV_ASV
DCV_172:DCV_ASV,DCV_172,DCV_ASV
DCV_173:DCV_ASV,DCV_173,DCV_ASV
DCV_174:DCV_ASV,DCV_174,DCV_ASV
DCV_175:DCV_ASV,DCV_175,DCV_ASV
DCV_176:DCV_ASV,DCV_176,DCV_ASV
DCV_177:DCV_ASV,DCV_177,DCV_ASV
DCV_178:DCV_ASV,DCV_178,DCV_ASV
DCV_179:DCV_ASV,DCV_179,DCV_ASV
DCV_180:DCV_ASV,DCV_180,DCV_ASV
DCV_181:DCV_ASV,DCV_181,DCV_ASV
DCV_182:DCV_ASV,DCV_182,DCV_ASV
DCV_183:DCV_ASV,DCV_183,DCV_ASV
DCV_184:DCV_ASV,DCV_184,DCV_ASV
DCV_185:DCV_ASV,DCV_185,DCV_ASV
DCV_186:DCV_ASV,DCV_186,DCV_ASV
DCV_187:DCV_ASV,DCV_187,DCV_ASV
DCV_188:DCV_ASV,DCV_188,DCV_ASV
DCV_189:DCV_ASV,DCV_189,DCV_ASV
DCV_190:DCV_ASV,DCV_190,DCV_ASV
DCV_191:DCV_PR,DCV_191,DCV_PR
DCV_191:SOF_DCV,DCV_191,SOF_DCV
DCV_192:DCV_PR,DCV_192,DCV_PR
DCV_192:SOF_DCV,DCV_192,SOF_DCV
DCV_193:DCV_PR,DCV_193,DCV_PR
DCV_193:SOF_DCV,DCV_193,SOF_DCV
DCV_194:DCV_PR,DCV_194,DCV_PR
DCV_194:SOF_DCV,DCV_194,SOF_DCV
DCV_195:DCV_PR,DCV_195,DCV_PR
DCV_195:SOF_DCV,DCV_195,SOF_DCV
DCV_196:DCV_PR,DCV_196,DCV_PR
DCV_196:SOF_DCV,DCV_196,SOF_DCV
DCV_197:DCV_PR,DCV_197,DCV_PR
DCV_197:SOF_DCV,DCV_197,SOF_DCV
DCV_198:DCV_PR,DCV_198,DCV_PR
DCV_198:SOF_DCV,DCV_198,SOF_DCV
DCV_199:DCV_PR,DCV_199,DCV_PR
DCV_199:SOF_DCV,DCV_199,SOF_DCV
DCV_200:DCV_PR,DCV_200,DCV_PR
DCV_200:SOF_DCV,DCV_200,SOF_DCV
DCV_201:DCV_PR,DCV_201,DCV_PR
