id,phdr_in_vivo_result_id,phdr_clinical_trial_id
DCV_141:ALLY-2,DCV_141,ALLY-2
DCV_142:ALLY-2,DCV_142,ALLY-2
DCV_143:ALLY-2,DCV_143,ALLY-2
DCV_144:ALLY-2,DCV_144,ALLY-2
DCV_145:ALLY-2,DCV_145,ALLY-2
DCV_146:ALLY-2,DCV_146,ALLY-2
DCV_147:NCT01628692,DCV_147,NCT01628692
DCV_148:NCT01628692,DCV_148,NCT01628692
DCV_149:NCT01628692,DCV_149,NCT01628692
DCV_150:NCT01628692,DCV_150,NCT01628692
DCV_151:NCT01628692,DCV_151,NCT01628692
DCV_152:NCT01628692,DCV_152,NCT01628692
DCV_153:NCT01628692,DCV_153,NCT01628692
DCV_154:NCT01628692,DCV_154,NCT01628692
DCV_155:NCT01628692,DCV_155,NCT01628692
DCV_156:NCT01628692,DCV_156,NCT01628692
DCV_157:ALLY-3,DCV_157,ALLY-3
DCV_170:NCT01995266,DCV_170,NCT01995266
DCV_171:NCT01995266,DCV_171,NCT01995266
DCV_172:NCT01995266,DCV_172,NCT01995266
DCV_173:NCT01995266,DCV_173,NCT01995266
DCV_174:NCT01995266,DCV_174,NCT01995266
DCV_175:Hallmark DUAL,DCV_175,Hallmark DUAL
DCV_176:Hallmark DUAL,DCV_176,Hallmark DUAL
DCV_177:Hallmark DUAL,DCV_177,Hallmark DUAL
DCV_178:Hallmark DUAL,DCV_178,Hallmark DUAL
DCV_179:Hallmark DUAL,DCV_179,Hallmark DUAL
DCV_180:Hallmark DUAL,DCV_180,Hallmark DUAL
DCV_181:Hallmark DUAL,DCV_181,Hallmark DUAL
DCV_182:Hallmark DUAL,DCV_182,Hallmark DUAL
DCV_183:Hallmark DUAL,DCV_183,Hallmark DUAL
DCV_184:Hallmark DUAL,DCV_184,Hallmark DUAL
DCV_185:Hallmark DUAL,DCV_185,Hallmark DUAL
DCV_186:Hallmark DUAL,DCV_186,Hallmark DUAL
DCV_187:Hallmark DUAL,DCV_187,Hallmark DUAL
DCV_188:Hallmark DUAL,DCV_188,Hallmark DUAL
DCV_188:NCT01012895,DCV_188,NCT01012895
DCV_188:NCT01051414,DCV_188,NCT01051414
DCV_188:NCT01497834,DCV_188,NCT01497834
DCV_188:NCT01718145,DCV_188,NCT01718145
DCV_188:NCT01995266,DCV_188,NCT01995266
DCV_188:UMIN000015627,DCV_188,UMIN000015627
DCV_189:Hallmark DUAL,DCV_189,Hallmark DUAL
DCV_189:NCT01012895,DCV_189,NCT01012895
DCV_189:NCT01051414,DCV_189,NCT01051414
DCV_189:NCT01497834,DCV_189,NCT01497834
DCV_189:NCT01718145,DCV_189,NCT01718145
DCV_189:NCT01995266,DCV_189,NCT01995266
DCV_189:UMIN000015627,DCV_189,UMIN000015627
DCV_191:NCT01257204,DCV_191,NCT01257204
DCV_191:NCT01359644,DCV_191,NCT01359644
DCV_191:NCT01616524,DCV_191,NCT01616524
DCV_191:NCT02032875,DCV_191,NCT02032875
DCV_191:NCT02032888,DCV_191,NCT02032888
DCV_192:NCT01257204,DCV_192,NCT01257204
DCV_192:NCT01359644,DCV_192,NCT01359644
DCV_192:NCT01616524,DCV_192,NCT01616524
DCV_192:NCT02032875,DCV_192,NCT02032875
DCV_192:NCT02032888,DCV_192,NCT02032888
DCV_193:NCT01257204,DCV_193,NCT01257204
DCV_193:NCT01359644,DCV_193,NCT01359644
