alignment_name,member_end,member_start,ref_end,ref_start,sequence_id,source_name
AL_1,6,1,109,104,REF_1f_L38350_L38371,concatenated-refseqs
AL_1,94,8,197,111,REF_1f_L38350_L38371,concatenated-refseqs
AL_1,103,95,206,198,REF_1f_L38350_L38371,concatenated-refseqs
AL_1,691,104,794,207,REF_1f_L38350_L38371,concatenated-refseqs
AL_1,713,693,816,796,REF_1f_L38350_L38371,concatenated-refseqs
AL_1,726,715,829,818,REF_1f_L38350_L38371,concatenated-refseqs
AL_1,747,740,850,843,REF_1f_L38350_L38371,concatenated-refseqs
AL_1,759,749,862,852,REF_1f_L38350_L38371,concatenated-refseqs
AL_1,777,762,880,865,REF_1f_L38350_L38371,concatenated-refseqs
AL_1,915,779,1018,882,REF_1f_L38350_L38371,concatenated-refseqs
AL_1,940,917,1043,1020,REF_1f_L38350_L38371,concatenated-refseqs
AL_1,1188,941,1291,1044,REF_1f_L38350_L38371,concatenated-refseqs
AL_1,1510,1201,8585,8276,REF_1f_L38350_L38371,concatenated-refseqs
AL_1,1515,1512,8590,8587,REF_1f_L38350_L38371,concatenated-refseqs
AL_1,1529,1517,8604,8592,REF_1f_L38350_L38371,concatenated-refseqs
AL_1f,6,1,6,1,REF_1f_L38350_L38371,concatenated-refseqs
AL_1f,94,8,94,8,REF_1f_L38350_L38371,concatenated-refseqs
AL_1f,103,95,103,95,REF_1f_L38350_L38371,concatenated-refseqs
AL_1f,691,104,691,104,REF_1f_L38350_L38371,concatenated-refseqs
AL_1f,713,693,713,693,REF_1f_L38350_L38371,concatenated-refseqs
AL_1f,726,715,726,715,REF_1f_L38350_L38371,concatenated-refseqs
AL_1f,747,740,747,740,REF_1f_L38350_L38371,concatenated-refseqs
AL_1f,759,749,759,749,REF_1f_L38350_L38371,concatenated-refseqs
AL_1f,777,762,777,762,REF_1f_L38350_L38371,concatenated-refseqs
AL_1f,915,779,915,779,REF_1f_L38350_L38371,concatenated-refseqs
AL_1f,940,917,940,917,REF_1f_L38350_L38371,concatenated-refseqs
AL_1f,1188,941,1188,941,REF_1f_L38350_L38371,concatenated-refseqs
AL_1f,1510,1201,1510,1201,REF_1f_L38350_L38371,concatenated-refseqs
AL_1f,1515,1512,1515,1512,REF_1f_L38350_L38371,concatenated-refseqs
AL_1f,1529,1517,1529,1517,REF_1f_L38350_L38371,concatenated-refseqs
AL_UNCONSTRAINED,6,1,115,110,REF_1f_L38350_L38371,concatenated-refseqs
AL_UNCONSTRAINED,94,8,203,117,REF_1f_L38350_L38371,concatenated-refseqs
AL_UNCONSTRAINED,103,95,214,206,REF_1f_L38350_L38371,concatenated-refseqs
AL_UNCONSTRAINED,691,104,803,216,REF_1f_L38350_L38371,concatenated-refseqs
AL_UNCONSTRAINED,713,693,825,805,REF_1f_L38350_L38371,concatenated-refseqs
AL_UNCONSTRAINED,726,715,838,827,REF_1f_L38350_L38371,concatenated-refseqs
