feature_name,ref_end,ref_seq_name,ref_start,splice_index,transcription_index,translation_modifier_name
3UTR,9144,REF_6w_EU643836,9123,1,1,
3UTR,9147,REF_6w_EU643834,9126,1,1,
3UTR,9174,REF_4g_JX227971,9158,1,1,
3UTR,9242,REF_4w_FJ025855,9227,1,1,
3UTR,9267,REF_4_unassigned_FJ025854,9224,1,1,
3UTR,9270,REF_4v_JX227960,9245,1,1,
3UTR,9271,REF_4w_FJ025856,9227,1,1,
3UTR,9273,REF_4d_DQ418786,9259,1,1,
3UTR,9281,REF_4k_EU392171,9263,1,1,
3UTR,9286,REF_1a_EF407457,9182,1,1,
3UTR,9286,REF_4o_JX227977,9270,1,1,
3UTR,9295,REF_4a_DQ418789,9289,1,1,
3UTR,9297,REF_4f_EU392175,9289,1,1,
3UTR,9298,REF_4f_EU392174,9290,1,1,
3UTR,9299,REF_4d_EU392172,9284,1,1,
3UTR,9301,REF_4n_JX227970,9287,1,1,
3UTR,9305,REF_4m_JX227972,9285,1,1,
3UTR,9312,REF_4k_EU392173,9300,1,1,
3UTR,9314,REF_4g_JX227963,9288,1,1,
3UTR,9317,REF_4l_JX227957,9291,1,1,
3UTR,9319,REF_4r_JX227976,9302,1,1,
3UTR,9323,REF_4v_JX227959,9298,1,1,
3UTR,9337,REF_4_unassigned_JX227964,9311,1,1,
3UTR,9343,REF_5a_NC_009826,9325,1,1,
3UTR,9343,REF_5_NC_009826,9325,1,1,
3UTR,9352,REF_3i_JX227955,9332,1,1,
3UTR,9353,REF_3g_JX227954,9334,1,1,
3UTR,9355,REF_4a_NC_009825,9307,1,1,
3UTR,9355,REF_4_NC_009825,9307,1,1,
3UTR,9359,REF_1b_EU781828,9338,1,1,
3UTR,9380,REF_2k_JX227953,9365,1,1,
3UTR,9383,REF_2j_HM777359,9111,1,1,
3UTR,9383,REF_2m_JX227967,9369,1,1,
3UTR,9388,REF_4l_FJ839870,9362,1,1,
3UTR,9390,REF_3a_X76918,9365,1,1,
3UTR,9392,REF_2a_HQ639944,9379,1,1,
3UTR,9398,REF_1_unassigned_KJ439777,9378,1,1,
3UTR,9399,REF_1_unassigned_KJ439780,9378,1,1,
3UTR,9401,REF_1a_M62321,9378,1,1,
3UTR,9401,REF_6xb_KJ567645,9390,1,1,
3UTR,9401,REF_6xe_KM252792,9393,1,1,
3UTR,9402,REF_2l_KC197240,9374,1,1,
3UTR,9406,REF_6t_EF632071,9376,1,1,
3UTR,9408,REF_5a_AF064490,9292,1,1,
3UTR,9411,REF_1n_KJ439775,9378,1,1,
3UTR,9412,REF_6_unassigned_JX183551,9390,1,1,
3UTR,9413,REF_1b_D90208,9363,1,1,
3UTR,9413,REF_1b_EU781827,9349,1,1,
3UTR,9413,REF_1j_KJ439773,9378,1,1,
3UTR,9413,REF_1_unassigned_KJ439779,9379,1,1,
3UTR,9413,REF_6l_JX183556,9390,1,1,
3UTR,9416,REF_1a_M67463,9378,1,1,
3UTR,9416,REF_1b_M58335,9366,1,1,
3UTR,9420,REF_1h_KC248199,9381,1,1,
3UTR,9421,REF_1h_KC248198,9381,1,1,
3UTR,9421,REF_1i_KJ439772,9387,1,1,
3UTR,9422,REF_1e_KC248194,9389,1,1,
3UTR,9422,REF_4o_FJ462440,9360,1,1,
3UTR,9423,REF_6_unassigned_JX183554,9390,1,1,
3UTR,9425,REF_4m_FJ462433,9363,1,1,
3UTR,9426,REF_4s_JF735136,9363,1,1,
3UTR,9426,REF_4_unassigned_JF735129,9362,1,1,
3UTR,9426,REF_4_unassigned_JF735131,9363,1,1,
3UTR,9428,REF_1l_KC248196,9397,1,1,
3UTR,9429,REF_3a_JN714194,9410,1,1,
3UTR,9429,REF_6v_EU158186,9359,1,1,
3UTR,9429,REF_6v_EU798761,9359,1,1,
3UTR,9430,REF_1l_KC248193,9397,1,1,
3UTR,9430,REF_4_unassigned_JF735130,9365,1,1,
3UTR,9430,REF_6_unassigned_DQ278893,9390,1,1,
3UTR,9430,REF_6_unassigned_KJ470625,9394,1,1,
3UTR,9431,REF_4_unassigned_JF735135,9365,1,1,
3UTR,9432,REF_6xd_KM252789,9402,1,1,
3UTR,9433,REF_1l_KC248197,9400,1,1,
3UTR,9433,REF_3i_FJ407092,9407,1,1,
3UTR,9433,REF_4q_FJ462434,9375,1,1,
3UTR,9434,REF_6xd_KM252791,9405,1,1,
3UTR,9435,REF_4g_FJ462432,9369,1,1,
3UTR,9435,REF_4n_FJ462441,9368,1,1,
3UTR,9435,REF_6xd_KM252790,9405,1,1,
3UTR,9435,REF_6_unassigned_KJ470623,9400,1,1,
3UTR,9437,REF_4_unassigned_JF735134,9377,1,1,
3UTR,9438,REF_4k_FJ462438,9378,1,1,
3UTR,9439,REF_1_unassigned_KC248195,9405,1,1,
3UTR,9440,REF_4b_FJ462435,9377,1,1,
3UTR,9440,REF_4r_FJ462439,9377,1,1,
3UTR,9440,REF_6_unassigned_DQ278891,9389,1,1,
3UTR,9441,REF_1c_AY051292,9378,1,1,
3UTR,9441,REF_1c_AY651061,9378,1,1,
3UTR,9441,REF_4_unassigned_JF735127,9377,1,1,
3UTR,9441,REF_6n_DQ278894,9391,1,1,
3UTR,9442,REF_6j_DQ835761,9390,1,1,
3UTR,9442,REF_6xc_KJ567651,9408,1,1,
3UTR,9443,REF_6xa_EU408332,9377,1,1,
3UTR,9443,REF_7a_NC_030791,9382,1,1,
3UTR,9443,REF_7_NC_030791,9382,1,1,
3UTR,9444,REF_3b_D49374,9412,1,1,
3UTR,9444,REF_6m_DQ835767,9390,1,1,
3UTR,9446,REF_1k_KJ439774,9378,1,1,
3UTR,9446,REF_6_unassigned_JX183553,9390,1,1,
3UTR,9447,REF_1n_KJ439781,9379,1,1,
3UTR,9447,REF_6i_DQ835770,9390,1,1,
3UTR,9447,REF_6n_DQ835768,9387,1,1,
3UTR,9447,REF_6_unassigned_KC844040,9393,1,1,
3UTR,9448,REF_1m_KJ439778,9381,1,1,
3UTR,9448,REF_1m_KJ439782,9378,1,1,
3UTR,9448,REF_6w_DQ278892,9397,1,1,
3UTR,9448,REF_6_unassigned_JX183549,9387,1,1,
3UTR,9449,REF_6m_DQ835766,9390,1,1,
3UTR,9449,REF_6r_EU408328,9390,1,1,
3UTR,9450,REF_3k_D63821,9400,1,1,
3UTR,9450,REF_6o_EF424627,9390,1,1,
3UTR,9451,REF_1d_KJ439768,9375,1,1,
3UTR,9451,REF_6xa_EU408330,9377,1,1,
3UTR,9453,REF_6l_EF424628,9390,1,1,
3UTR,9453,REF_6p_EF424626,9391,1,1,
3UTR,9454,REF_3a_D28917,9406,1,1,
3UTR,9454,REF_6f_DQ835760,9396,1,1,
3UTR,9454,REF_6j_DQ835769,9390,1,1,
3UTR,9454,REF_6_unassigned_JX183558,9390,1,1,
3UTR,9456,REF_3a_NC_009824,9406,1,1,
3UTR,9456,REF_3_NC_009824,9406,1,1,
3UTR,9458,REF_3d_KJ470619,9407,1,1,
3UTR,9458,REF_3e_KJ470618,9406,1,1,
3UTR,9458,REF_6i_DQ835762,9390,1,1,
3UTR,9459,REF_6c_EF424629,9388,1,1,
3UTR,9459,REF_6_unassigned_JX183550,9387,1,1,
3UTR,9460,REF_6xe_JX183557,9393,1,1,
3UTR,9461,REF_6g_D63822,9408,1,1,
3UTR,9461,REF_6v_EU798760,9390,1,1,
3UTR,9462,REF_1_unassigned_KJ439776,9397,1,1,
3UTR,9462,REF_6g_DQ314806,9408,1,1,
3UTR,9463,REF_6q_EF424625,9388,1,1,
3UTR,9468,REF_4c_FJ462436,9410,1,1,
3UTR,9468,REF_6e_DQ314805,9408,1,1,
3UTR,9470,REF_2f_KC844050,9443,1,1,
3UTR,9470,REF_6xa_EU408331,9377,1,1,
3UTR,9471,REF_6_unassigned_KJ470620,9413,1,1,
3UTR,9472,REF_2f_KC844042,9443,1,1,
3UTR,9473,REF_6s_EU408329,9390,1,1,
3UTR,9474,REF_6_unassigned_KJ470622,9409,1,1,
3UTR,9474,REF_6_unassigned_KJ470624,9410,1,1,
3UTR,9475,REF_4p_FJ462431,9365,1,1,
3UTR,9475,REF_6_unassigned_KJ470621,9410,1,1,
3UTR,9481,REF_1_unassigned_AJ851228,9351,1,1,
3UTR,9487,REF_1c_D14853,9378,1,1,
3UTR,9488,REF_2k_AB031663,9444,1,1,
3UTR,9488,REF_4t_FJ839869,9365,1,1,
3UTR,9488,REF_6_unassigned_KC844039,9414,1,1,
3UTR,9490,REF_1g_AM910652,9362,1,1,
3UTR,9508,REF_2d_JF735114,9443,1,1,
3UTR,9508,REF_2_unassigned_JF735110,9443,1,1,
3UTR,9509,REF_2j_JF735113,9191,1,1,
